region_name,has_rail_station,nearest_airport,nearest_airport_km,stadium_name,stadium_capacity,data_quality,notes
杭州市,杭州东站/杭州西站/杭州南站/杭州站,杭州萧山国际机场,27,杭州奥体中心体育场（大莲花）,80000,verified,"亚运主会场；另有黄龙体育中心(51971座)"
建德市,建德站,杭州萧山国际机场,150,建德市新安江体育馆,3008,verified,杭黄高铁经停
桐庐县,桐庐站/桐庐东站,杭州萧山国际机场,110,桐庐县体育馆,2704,verified,杭黄高铁经停；另有亚运马术中心(~3100座)
淳安县,千岛湖站,杭州萧山国际机场,160,淳安界首体育中心自行车馆,3040,verified,杭黄高铁经停；亚运自行车/铁三场地
宁波市,宁波站,宁波栎社国际机场,12,宁波富邦体育场,30000,verified,杭甬高铁终点
余姚市,余姚北站/余姚站,宁波栎社国际机场,58,余姚市公共体育中心（新建中）,18000,"verified(在建)",杭甬高铁经停；余姚长期缺大型场馆
慈溪市,余姚北站(最近),宁波栎社国际机场,66,慈溪市体育中心体育场,16000,verified,中甲宁波FC主场；体育馆(5821座)
象山县,无铁路客运站,宁波栎社国际机场,70,象山县体育馆已拆除,-,verified,2023年原体育馆拆除；亚运沙排基地(2000座)
宁海县,宁海站,宁波栎社国际机场,76,宁海县第一职业中学体育场,5000,verified,甬台温铁路经停；体育馆1200座
温州市,温州南站/温州站,温州龙湾国际机场,25,温州奥体中心体育场（大龙眼）,50000,verified,亚运足球小组赛场地
瑞安市,瑞安站,温州龙湾国际机场,30,瑞安市体育中心体育场,1258,verified,沿海高铁经停；体育馆(3183座)
乐清市,乐清站/乐清东站,温州龙湾国际机场,45,乐清市体育中心体育场,15000,verified,沿海高铁经停
龙港市,苍南站(最近),温州龙湾国际机场,60,龙港市体育中心（新建2025交付）,16000,verified,德国GMP设计；原龙港体育馆(3800座)
永嘉县,温州北站,温州龙湾国际机场,30,永嘉县体育馆,5000,verified,杭温高铁2024开通；体育场(3000座)
平阳县,平阳站,温州龙湾国际机场,55,平阳县体育中心体育场（在建）,15000,"verified(在建)",沿海高铁经停；体育馆(3558座)
苍南县,苍南站,温州龙湾国际机场,70,苍南县体育中心体育馆,3876,verified,沿海高铁经停
文成县,无铁路客运站,温州龙湾国际机场,90,文成县体育中心体育馆,1848,verified,山区县
泰顺县,无铁路客运站,温州龙湾国际机场,110,泰顺县体育中心体育馆,3700,verified,山区县；体育场(2000座)
嘉兴市,嘉兴南站/嘉兴站,杭州萧山国际机场,90,嘉兴市体育中心体育场,33000,verified,嘉兴南湖机场(4E)在建中
海宁市,海宁西站/海宁站,杭州萧山国际机场,65,海宁市体育中心体育馆,5000,verified,沪杭高铁经停；主体育场(30000座)规划中
平湖市,嘉善南站(最近),上海虹桥国际机场,75,平湖市体育中心体育馆,-,partial,无铁路站；沪乍杭铁路规划中；场馆容量待确认
桐乡市,桐乡站,杭州萧山国际机场,60,桐乡市全民健身中心暨李宁体育园,3000,verified,沪杭高铁经停；老体育馆(2000座)
嘉善县,嘉善南站/嘉善站,上海虹桥国际机场,65,嘉善县体育馆,3100,verified,沪杭高铁经停；体育场(5000座)
海盐县,嘉兴南站(最近),杭州萧山国际机场,85,海盐职教中心竞技体育馆,3500,verified,无铁路站；新建万人体育场(10000座)2024竣工
湖州市,湖州站,杭州萧山国际机场,100,湖州奥体中心体育场（百合体育场）,40000,verified,IAAF一级场地；宁杭高铁经停
德清县,德清站/德清西站,杭州萧山国际机场,65,德清县体育中心体育场,20000,verified,亚运排球场地；宁杭高铁经停
长兴县,长兴站/长兴南站,杭州萧山国际机场,130,长兴县体育馆,1591,verified,宁杭高铁经停；体育场改造中(5000座看台)
安吉县,安吉站,杭州萧山国际机场,110,安吉县龙山体育中心体育馆,3500,verified,商合杭高铁经停
绍兴市,绍兴北站/绍兴站,杭州萧山国际机场,35,绍兴市轻纺城体育中心体育场,30000,partial,杭甬高铁经停；奥体中心体育馆(9880座)
诸暨市,诸暨站,义乌机场,60,诸暨市体育中心体育场,10000,verified,沪昆高铁经停；西施篮球中心(18000座)为篮球馆
嵊州市,嵊州新昌站,宁波栎社国际机场,80,嵊州市体育中心体育场,3000,verified,杭台高铁经停
新昌县,嵊州新昌站,宁波栎社国际机场,80,新昌县小球中心体育馆,5018,verified,杭台高铁经停；2025新建甲级综合馆
金华市,金华站/金华南站,义乌机场,55,金华市体育中心体育场,30000,verified,亚运足球/藤球场地
兰溪市,兰溪站,义乌机场,85,兰溪市体育中心田径场看台,5000,partial,金千铁路经停(客运班次少)；体育馆(3060座)
义乌市,义乌站,义乌机场,10,义乌市梅湖体育中心体育场,35260,verified,沪昆高铁/杭温高铁经停
东阳市,横店站,义乌机场,35,东阳市体育中心体育馆,5465,verified,杭温高铁2024开通；体育场(~22000座)在建
永康市,永康南站,义乌机场,90,永康市体育馆,2600,partial,金温铁路经停；未查到大型体育场数据
武义县,武义北站/武义站,义乌机场,60,武义县文体中心体育馆(新建),3000,"verified(在建)",沪昆高铁经停；2025年底交付
浦江县,浦江站,义乌机场,25,浦江县体育中心体育场,15050,verified,杭温高铁2024开通
磐安县,磐安站,义乌机场,95,磐安县文体中心,3000,partial,杭温高铁2024开通；体育馆座位数待确认
衢州市,衢州站,衢州机场,3,衢州市体育中心体育场,30000,verified,MAD设计鲁班奖；体育馆(10000座)在建
江山市,江山站,衢州机场,40,江山虎山运动公园体育馆,4000,partial,沪昆高铁经停；配套2025亚举赛
常山县,常山站,衢州机场,45,常山县体育馆,-,partial,衢九铁路经停；容量待确认
开化县,开化站,衢州机场,65,开化县综合体育中心（在建）,3000,"verified(在建)",衢九铁路经停；占旭刚体育馆(老馆)
龙游县,龙游站,衢州机场,30,龙游县体育馆,-,partial,沪昆高铁经停；龙游瀫三馆在建
舟山市,无铁路客运站,舟山普陀山机场,20,舟山体育场（黄龙舟山分中心）,21600,verified,海岛城市；甬舟铁路在建
岱山县,无铁路客运站,舟山普陀山机场,55,岱山县体育馆,-,partial,海岛县；容量待确认
嵊泗县,无铁路客运站,上海浦东国际机场,80,嵊泗县体育馆,-,partial,偏远海岛县；舟山机场约90km
台州市,台州站/台州西站,台州路桥机场,15,台州市体育中心体育场,42000,verified,杭台高铁/甬台温铁路经停
温岭市,温岭站,台州路桥机场,32,温岭市体育中心体育场,20000,verified,沿海高铁经停；体育馆(3000座)
临海市,临海站/临海南站,台州路桥机场,48,临海体育馆（灵湖体育馆）,5300,verified,杭台高铁/甬台温铁路经停；无独立大型体育场
玉环市,温岭站(最近),台州路桥机场,45,玉环奥体中心体育场,20000,verified,无铁路客运站；2023新建奥体
三门县,三门县站,宁波栎社国际机场,70,三门县体育中心主体育场,25000,partial,沿海高铁经停；体育馆(3600座)
天台县,天台山站,台州路桥机场,95,天台县人民体育场,1500,partial,杭台高铁经停；西部全民健身中心在建
仙居县,仙居站,台州路桥机场,90,仙居全民体育馆,-,partial,杭温高铁2024开通；全民健身型、无大型看台
丽水市,丽水站,丽水机场(在建),15,丽水市体育中心体育场,19000,verified,丽水机场计划2025通航
龙泉市,龙泉市站,衢州机场,160,龙泉市体育馆,3089,verified,衢宁铁路经停；体育场(5000座)在建
青田县,青田站,温州龙湾国际机场,55,青田县体育中心体育馆,4400,verified,金温铁路经停；2022年启用
缙云县,缙云西站,义乌机场,65,-,-,partial,金温高铁经停；未查到具体场馆数据
遂昌县,遂昌站,衢州机场,95,遂昌县全民健身中心体育场,7000,partial,衢宁铁路经停；体育馆(2740座)
松阳县,松阳站,丽水机场(在建),70,松阳县体育中心,-,partial,衢宁铁路经停；体育场(煤渣跑道)
云和县,赤石站(客运有限),丽水机场(在建),60,云和县体育中心体育馆,-,partial,衢宁铁路经停但客运少；体育馆免费开放
庆元县,庆元站,南平武夷山机场,140,庆元县体育馆,1300,partial,衢宁铁路经停；距福建武夷山机场更近
景宁畲族自治县,无铁路客运站,丽水机场(在建),85,景宁体育馆,1500,partial,无铁路
